,Date,Route,Operator,Aircraft Type,All Aboard,Passengers Aboard,Crew Aboard,Total Fatalities,Passenger Fatalities,Crew Fatalities,Year,Month,Season
200,"September 14, 1929","Saint Catharines, Ontario",Skyways,Travel Air 6000,6,5,1,6,5,1,1929,September,Autumn
201,"September 17, 1929","Mt Lamentation, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,1929,September,Autumn
202,"September 17, 1929","Off Larache, Morocco",Aeropostale,Latecoere 25-3-R,5,3,2,5,3,2,1929,September,Autumn
203,"September 17, 1929","Jacumba, California",Pickwick Airways,Fairchild 71,2,0,2,1,0,1,1929,September,Autumn
204,"October 26, 1929","Off Spezia, Italy",Imperial Airways,Short Calcutta (flying boat),7,5,2,7,5,2,1929,October,Autumn
205,"October 29, 1929","Mount Vernon, Ohio",Continental Air Lines,Stearman C-38,1,0,1,1,0,1,1929,October,Autumn
206,"October 31, 1929","Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,2,0,2,2,0,2,1929,October,Autumn
207,"November 04, 1929","Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Lockheed Vega 5,4,3,1,4,3,1,1929,November,Autumn
208,"November 06, 1929","Near Godstone, Surrey, England",Deutsche Lufthansa,Junkers G-24,8,4,4,7,3,4,1929,November,Autumn
209,"November 16, 1929","Off Corsica, France",Air Union,Liore et Olivier 190,3,0,3,3,0,3,1929,November,Autumn
210,"November 20, 1929","Terranova Pausania, East Sardinia",S.A.M. Società Aerea Mediterranea,Savoia Marchetti S55,12,9,3,1,1,0,1929,November,Autumn
211,"November 30, 1929","Vancouver, Washington",Varney Air Lines,Stearman M-2 Speedmail,1,0,1,1,0,1,1929,November,Autumn
212,"December 02, 1929","Chagrin Falls, Ohio",National Air Transport,Douglas M-3,1,0,1,1,0,1,1929,December,Winter
213,"December 19, 1929","Near Berlin, Germany",Deutsche Lufthansa,Arado V1,3,0,2,2,0,2,1929,December,Winter
214,"December 30, 1929","Amarillo, Texas",Trans Continental Air Transport,Travel Air B6000,5,3,2,5,3,2,1929,December,Winter
215,"January 10, 1930","Brawnson, Nebraska",Boeing Air Transport,Boeing 95,1,0,1,1,0,1,1930,January,Winter
216,"January 13, 1930","Antananarivo, Madagascar",Air Orient,Farman 190,3,0,3,3,0,3,1930,January,Winter
217,"January 19, 1930","Oceanside, California",Maddux Airlines,Ford 5-AT-C Tri Motor,16,14,2,16,14,2,1930,January,Winter
218,"January 25, 1930","Off Ceuta, Spain",Aeropostale,Latecoere 25,2,0,2,2,0,2,1930,January,Winter
219,"January 27, 1930","Kansas City, Missouri",Central  Airlines (Universal Aviation Corporation),Travel Air A6000A,5,4,1,5,4,1,1930,January,Winter
220,"February 03, 1930","Hartford, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,1930,February,Winter
221,"February 10, 1930","Marden, England",Air Union,Farman F-63,6,3,3,2,2,0,1930,February,Winter
222,"April 18, 1930","Jersey City, New Jersey",Canadian Colonial Airways,Fairchild 71,4,3,1,4,3,1,1930,April,Spring
223,"May 10, 1930","Buenos Aires, Argentina",Aeropostale,Latecoere 28,4,2,2,3,1,2,1930,May,Spring
224,"June 05, 1930","Boston, Massachusetts",Colonial Air Transport,Ford Tri-Motor 5,15,13,2,1,1,0,1930,June,Summer
225,"July 07, 1930","Bornholm, Denmark",Deutsche Lufthansa,Dornier Wal,8,5,3,5,4,1,1930,July,Summer
226,"July 10, 1930","Arkansas Pass, Texas",Cross Airways,Lockheed Vega 5,5,4,1,5,4,1,1930,July,Summer
227,"July 21, 1930","Near Meopham, Kent, England",Walcot Air Line,Junkers F-13ge,6,4,2,6,4,2,1930,July,Summer
228,"August 22, 1930","Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,11,10,1,10,9,1,1930,August,Summer
229,"September 11, 1930","Croydon, England",Sabena,Sabca F-VII,2,0,2,2,0,2,1930,September,Autumn
230,"September 25, 1930","Edmonton, Alberta, Canada",Western Canada Airways,Boeing 40,3,2,1,3,2,1,1930,September,Autumn
232,"October 06, 1930","Dresden, Germany",Deutsche Lufthansa,Messerschmitt M-20B,8,6,2,8,6,2,1930,October,Autumn
233,"October 12, 1930","La Rache, Morocco",Aeropostale,Latecoere 28,4,3,1,4,3,1,1930,October,Autumn
234,"October 13, 1930","Perth, Australia",Wings Ltd,de Havilland DH.80 Puss Moth,3,2,1,3,2,1,1930,October,Autumn
235,"October 28, 1930","Prince Rupert, BC, Canada",Alaska-Washington Airways,Lockheed Vega,3,2,1,3,2,1,1930,October,Autumn
236,"October 30, 1930","Near Neufchatel, France",Imperial Airways,Handley Page W-8,6,3,3,3,2,1,1930,October,Autumn
237,"October 30, 1930","Brookston, Indiana",Embry Riddle Company,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,1930,October,Autumn
238,"November 07, 1930","Off of Santos, Brazil",Syndicato Condor,Junkers G-24,9,8,1,1,1,0,1930,November,Autumn
239,"November 18, 1930","Techachapi Mountains, California",Pacific Air Transport,Boeing 40,3,0,3,3,0,3,1930,November,Autumn
240,"December 09, 1930","Shanghai, China",China National Aviation Corporation,Loening C-W Air Yaht,6,4,2,4,2,2,1930,December,Winter
241,"January 08, 1931","Melle, Belgium",Sabena,Fokker F-VII,2,0,2,2,0,2,1931,January,Winter
242,"January 22, 1931","Bluff Mountain, Washington",Varney Air Lines,Boeing 40,1,0,1,1,0,1,1931,January,Winter
243,"February 08, 1931","Wairoa, New Zealand",Dominion Air Lines,Desoutter II,3,2,1,3,2,1,1931,February,Winter
244,"February 20, 1931","Bagot, Manitoba, Canada",Western Canada Airways,Fokker Universal F-14,3,2,1,2,2,0,1931,February,Winter
245,"February 24, 1931",Off Spain,Aeropostale,Latecoere 32,3,0,3,1,0,1,1931,February,Winter
